1403638523177829632,0.02053,-0.00173,0.35754,-0.06803,0.80456,0.01184,0.58984,-0.06918,-0.05865,-0.01123,
1403638523277829376,0.02280,-0.01088,0.35416,-0.05888,0.80363,0.01102,0.59210,-0.03809,-0.07493,-0.25550,
1403638523377829632,0.02723,-0.01542,0.34028,-0.05413,0.80365,0.00997,0.59255,-0.02038,-0.05539,-0.41370,
1403638523477829376,0.02671,-0.02160,0.30963,-0.04932,0.80780,0.01247,0.58726,-0.04398,-0.07226,-0.48006,
1403638523577829376,0.02290,-0.02908,0.26226,-0.04246,0.81717,0.01665,0.57459,-0.05556,-0.07429,-0.50355,
1403638523677829632,0.01664,-0.03630,0.21311,-0.03534,0.82645,0.01913,0.56157,-0.06409,-0.07234,-0.48724,
1403638523777829376,0.01137,-0.04168,0.16455,-0.03123,0.83093,0.02154,0.55508,-0.06754,-0.05512,-0.45490,
1403638523877829632,0.00461,-0.04643,0.12228,-0.02758,0.83149,0.02441,0.55432,-0.07935,-0.05713,-0.38577,
1403638523977829376,-0.00186,-0.05004,0.08943,-0.01792,0.83150,0.03021,0.55441,-0.06407,-0.02177,-0.24668,
1403638524077829376,-0.00667,-0.05031,0.07514,-0.01047,0.83456,0.03819,0.54950,-0.02827,0.00716,-0.00080,
1403638524177829632,-0.00812,-0.04894,0.08837,-0.01071,0.83902,0.04269,0.54231,0.00236,0.02022,0.28342,
1403638524277829376,-0.00470,-0.04836,0.12824,-0.01649,0.84007,0.04324,0.54050,0.04147,0.01070,0.49330,
1403638524377829632,0.00084,-0.04674,0.18462,-0.02540,0.83735,0.04124,0.54451,0.07012,0.01782,0.58542,
1403638524477829376,-0.00234,-0.05476,0.24276,-0.03277,0.83052,0.03973,0.55460,0.06991,0.01122,0.61515,
1403638524577829376,0.00639,-0.05333,0.30244,-0.03548,0.82174,0.03820,0.56747,0.08526,0.02512,0.58395,
1403638524677829632,0.01590,-0.05006,0.35630,-0.03110,0.81527,0.03266,0.57732,0.08422,0.04214,0.48110,
1403638524777829376,0.02335,-0.04596,0.39644,-0.01788,0.81149,0.02731,0.58345,0.06181,0.03931,0.33388,
1403638524877829632,0.02936,-0.04101,0.42214,-0.01359,0.81003,0.02437,0.58572,0.05327,0.05100,0.19218,
1403638524977829376,0.03207,-0.03785,0.43261,-0.02018,0.80844,0.02688,0.58762,0.01047,0.02326,-0.00339,
1403638525077829376,0.03277,-0.03660,0.42071,-0.01782,0.80572,0.03038,0.59124,0.01756,0.01332,-0.23497,
1403638525177829632,0.03429,-0.03547,0.38800,-0.01534,0.80424,0.03493,0.59307,0.01226,0.00749,-0.41108,
1403638525277829376,0.03432,-0.03577,0.34428,-0.01515,0.80692,0.03977,0.58913,-0.00815,0.00333,-0.51034,
1403638525377829632,0.03252,-0.03599,0.29150,-0.01750,0.81567,0.04428,0.57655,-0.03068,0.01301,-0.54311,
1403638525477829376,0.02897,-0.03523,0.24030,-0.02566,0.82774,0.04555,0.55868,-0.03885,0.01923,-0.50211,
1403638525577829376,0.02398,-0.03789,0.19408,-0.03129,0.83661,0.04436,0.54510,-0.03570,-0.00362,-0.43434,
1403638525677829632,0.02323,-0.04202,0.15630,-0.03149,0.83943,0.04070,0.54102,-0.01165,-0.01313,-0.34238,
1403638525777829376,0.02247,-0.04425,0.12671,-0.02807,0.83761,0.03454,0.54445,-0.00560,-0.00896,-0.25351,
1403638525877829632,0.02008,-0.04355,0.10217,-0.02088,0.83360,0.03026,0.55115,-0.01682,-0.03482,-0.16064,
1403638525977829376,0.01685,-0.05131,0.08859,-0.01283,0.83197,0.02945,0.55389,-0.04103,-0.13547,-0.05770,
1403638526077829376,0.01307,-0.07027,0.08575,-0.00895,0.83340,0.02769,0.55191,-0.03719,-0.25039,0.02796,
